TRILHA,ANOTACAO,ARQUIVO
S,a escola a gente en teve que entrar na associação,S_PBCP_2017FA+_EdileneB.eaf
S,fazer manifestação nas ruas pra sair semáforo escola,S_PBCP_2017FA+_EdileneB.eaf
S,a gente está lutando por um posto de saúde agora,S_PBCP_2017FA+_EdileneB.eaf
S,e é sempre o,S_PBCP_2017FA+_EdileneB.eaf
S,o pessoal do bairro da associação,S_PBCP_2017FA+_EdileneB.eaf
S,e eu não sei se todos os bairro funciona assim porque o bairro da minha irmã,S_PBCP_2017FA+_EdileneB.eaf
S,é uma tragédia,S_PBCP_2017FA+_EdileneB.eaf
S,está melhorando um pouquinho agora que é o bairro que a c mora agora é que estão asfaltando,S_PBCP_2017FA+_EdileneB.eaf
S,e tem diferença nisso aí tem uns bairro,S_PBCP_2017FA+_EdileneB.eaf
S,que o prefeito investe mais,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,e costuma haver festa de bairro lá,S_PBCP_2017FA+_EdileneB.eaf
S,festa de bairro mesmo nunca vi,S_PBCP_2017FA+_EdileneB.eaf
S,tem umas festa,S_PBCP_2017FA+_EdileneB.eaf
S,umas festa doida que eles faz numa chácara lá que dá,S_PBCP_2017FA+_EdileneB.eaf
S,uma bagunça só,S_PBCP_2017FA+_EdileneB.eaf
D1,então as pessoas costumam se reunir no bairro,S_PBCP_2017FA+_EdileneB.eaf
S,não sei como que é o nome,S_PBCP_2017FA+_EdileneB.eaf
S,festa,S_PBCP_2017FA+_EdileneB.eaf
S,waze raze alguma coisa assim,S_PBCP_2017FA+_EdileneB.eaf
D1,é rave,S_PBCP_2017FA+_EdileneB.eaf
S,é rave é isso aí,S_PBCP_2017FA+_EdileneB.eaf
S,então já fizeram duas vez lá antes não tinha agora fizeram lá mas é só cachorrada,S_PBCP_2017FA+_EdileneB.eaf
S,você só vê só droga e polícia correndo atrás de,S_PBCP_2017FA+_EdileneB.eaf
S,de adolescente,S_PBCP_2017FA+_EdileneB.eaf
S,mas o bairro mesmo não tem,S_PBCP_2017FA+_EdileneB.eaf
D1,festa,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,então as pessoas costumam se reunir no bairro,S_PBCP_2017FA+_EdileneB.eaf
S,não sei como que é o nome,S_PBCP_2017FA+_EdileneB.eaf
S,festa,S_PBCP_2017FA+_EdileneB.eaf
S,waze raze alguma coisa assim,S_PBCP_2017FA+_EdileneB.eaf
D1,é rave,S_PBCP_2017FA+_EdileneB.eaf
S,é rave é isso aí,S_PBCP_2017FA+_EdileneB.eaf
S,então já fizeram duas vez lá antes não tinha agora fizeram lá mas é só cachorrada,S_PBCP_2017FA+_EdileneB.eaf
S,você só vê só droga e polícia correndo atrás de,S_PBCP_2017FA+_EdileneB.eaf
S,de adolescente,S_PBCP_2017FA+_EdileneB.eaf
S,mas o bairro mesmo não tem,S_PBCP_2017FA+_EdileneB.eaf
D1,festa,S_PBCP_2017FA+_EdileneB.eaf
S,assim no meu bairro não mas no bairro de baixo já tem do uruguai já tem,S_PBCP_2017FA+_EdileneB.eaf
D1,entendi,S_PBCP_2017FA+_EdileneB.eaf
S,é que tem festa do dia das criança,S_PBCP_2017FA+_EdileneB.eaf
S,tem umas festa lá que eles faz,S_PBCP_2017FA+_EdileneB.eaf
D1,festa junina,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,mas não é no seu bairro são nos bairros,S_PBCP_2017FA+_EdileneB.eaf
S,não é no meu bairro no bairro próximo do meu,S_PBCP_2017FA+_EdileneB.eaf
D1,entendi,S_PBCP_2017FA+_EdileneB.eaf
S,ao lado que é no uruguai,S_PBCP_2017FA+_EdileneB.eaf
D1,fora isso é só essas raves mesmos que tem,S_PBCP_2017FA+_EdileneB.eaf
S,sim,S_PBCP_2017FA+_EdileneB.eaf
S,uhum,S_PBCP_2017FA+_EdileneB.eaf
D1,tá,S_PBCP_2017FA+_EdileneB.eaf
D1,e se você precisar de ajuda então lá pra quem que você recorre,S_PBCP_2017FA+_EdileneB.eaf
S,que tipo de ajuda,S_PBCP_2017FA+_EdileneB.eaf
D1,se você ficar doente,S_PBCP_2017FA+_EdileneB.eaf
D1,se você precisar de alguém pra tomar conta da sua família,S_PBCP_2017FA+_EdileneB.eaf
S,geralmente,S_PBCP_2017FA+_EdileneB.eaf
S,já aconteceu isso,S_PBCP_2017FA+_EdileneB.eaf
S,já aconteceu de eu ficar doente,S_PBCP_2017FA+_EdileneB.eaf
S,mas eu não pude contar com a minha família,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,do seu bairro atual,S_PBCP_2017FA+_EdileneB.eaf
S,já,S_PBCP_2017FA+_EdileneB.eaf
D1,já,S_PBCP_2017FA+_EdileneB.eaf
S,já fez eu estou planejando em ir voltar pro paraná,S_PBCP_2017FA+_EdileneB.eaf
S,agora,S_PBCP_2017FA+_EdileneB.eaf
S,só que o,S_PBCP_2017FA+_EdileneB.eaf
S,como o são judas tadeu é assim,S_PBCP_2017FA+_EdileneB.eaf
S,uma parte do são judas tadeu é legalizado e a outra não,S_PBCP_2017FA+_EdileneB.eaf
S,tem que,S_PBCP_2017FA+_EdileneB.eaf
S,houve uma invasão numa área particular,S_PBCP_2017FA+_EdileneB.eaf
S,é uma área que tinha dono,S_PBCP_2017FA+_EdileneB.eaf
S,aí as pessoas estão morando lá,S_PBCP_2017FA+_EdileneB.eaf
S,tem pessoas até vinte ano já que mora lá,S_PBCP_2017FA+_EdileneB.eaf
S,então não tem documentação do terreno ou seja tem outro dono você puxa iptu na prefeitura tem outro dono,S_PBCP_2017FA+_EdileneB.eaf
D1,uhum,S_PBCP_2017FA+_EdileneB.eaf
S,é o meu caso,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,e hoje tem algum outro bairro que você gostaria de morar,S_PBCP_2017FA+_EdileneB.eaf
S,aqui em campinas,S_PBCP_2017FA+_EdileneB.eaf
D1,pode ser,S_PBCP_2017FA+_EdileneB.eaf
S,aqui em campinas eu não tenho vontade de morar em nenhum outro bairro que eu gosto tanto do meu,S_PBCP_2017FA+_EdileneB.eaf
D1,só se for pro paraná mesmo né,S_PBCP_2017FA+_EdileneB.eaf
S,é só se for pro paraná se não for deixa eu lá no meu lugarzinho mesmo,S_PBCP_2017FA+_EdileneB.eaf
D1,e como é que foi a sua infância,S_PBCP_2017FA+_EdileneB.eaf
S,a minha infância,S_PBCP_2017FA+_EdileneB.eaf
D1,isso,S_PBCP_2017FA+_EdileneB.eaf
S,a partir de nossa a minha infância é óti,S_PBCP_2017FA+_EdileneB.eaf
S,foi maravilhosa a minha infância eu não tenho que me reclamar não eu sinto é saudade da minha infância,S_PBCP_2017FA+_EdileneB.eaf
D1,é,S_PBCP_2017FA+_EdileneB.eaf
S,é,S_PBCP_2017FA+_EdileneB.eaf
S,a gente foi criado em catorze irmãos,S_PBCP_2017FA+_EdileneB.eaf
D1,nossa tudo isso,S_PBCP_2017FA+_EdileneB.eaf
S,quando o meu pai casou com minha mãe ele era viúvo,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,um pouco no mesmo no mesmo bairro lá,S_PBCP_2017FA+_EdileneB.eaf
S,sim,S_PBCP_2017FA+_EdileneB.eaf
S,fui,S_PBCP_2017FA+_EdileneB.eaf
S,comecei no sítio estudando  no sítio e fui pra cidade depois  estudar  na cidade,S_PBCP_2017FA+_EdileneB.eaf
D1,aham,S_PBCP_2017FA+_EdileneB.eaf
S,eu estudei  pouco tempo na cidade lá,S_PBCP_2017FA+_EdileneB.eaf
S,eu já tive que abandonar tudo,S_PBCP_2017FA+_EdileneB.eaf
D1,e,S_PBCP_2017FA+_EdileneB.eaf
D1,e você gostava de ir pra escola,S_PBCP_2017FA+_EdileneB.eaf
S,eu amava,S_PBCP_2017FA+_EdileneB.eaf
S,eu era a pessoa mais  bagunceira da sala de aula deus  me livre,S_PBCP_2017FA+_EdileneB.eaf
S,ao mesmo  tempo eu era muito es  estudada  assim eu me dedicava muito a meus  estudo  eu eu só tinha nota boa,S_PBCP_2017FA+_EdileneB.eaf
S,mas  eu eu adorava bagunça,S_PBCP_2017FA+_EdileneB.eaf
S,a hora da merenda,S_PBCP_2017FA+_EdileneB.eaf
S,entrava na fila três  vezes  pra comer três  vezes ,S_PBCP_2017FA+_EdileneB.eaf
D1,isso que a sua mãe era a merendeira ainda,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,e você sabe algum bairro aqui de campinas onde essas pessoas se concentram mais,S_PBCP_2017FA+_EdileneB.eaf
D1,esses os migrantes no caso né,S_PBCP_2017FA+_EdileneB.eaf
S,aqui em campinas tem muito,S_PBCP_2017FA+_EdileneB.eaf
D1,tem muito bairro,S_PBCP_2017FA+_EdileneB.eaf
S,muitos muitos muitos nordestino,S_PBCP_2017FA+_EdileneB.eaf
S,se você descer nessa rua aqui você só vê paraibano,S_PBCP_2017FA+_EdileneB.eaf
D1,uhum,S_PBCP_2017FA+_EdileneB.eaf
S,que são todos conhecido meu,S_PBCP_2017FA+_EdileneB.eaf
S,muitos muitos mesmo,S_PBCP_2017FA+_EdileneB.eaf
S,tem pessoas do paraná essa minha vizinha aqui é do paraná,S_PBCP_2017FA+_EdileneB.eaf
S,essa daqui veio lá de de de cuiabá,S_PBCP_2017FA+_EdileneB.eaf
S,é de cuiabá,S_PBCP_2017FA+_EdileneB.eaf
S,mas a família dela é de,S_PBCP_2017FA+_EdileneB.eaf
S,da bahia,S_PBCP_2017FA+_EdileneB.eaf
S,é uma misturassa,S_PBCP_2017FA+_EdileneB.eaf
S,dificilmente tem um paulista perto de mim,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,tem muito bairro,S_PBCP_2017FA+_EdileneB.eaf
S,muitos muitos muitos nordestino,S_PBCP_2017FA+_EdileneB.eaf
S,se você descer nessa rua aqui você só vê paraibano,S_PBCP_2017FA+_EdileneB.eaf
D1,uhum,S_PBCP_2017FA+_EdileneB.eaf
S,que são todos conhecido meu,S_PBCP_2017FA+_EdileneB.eaf
S,muitos muitos mesmo,S_PBCP_2017FA+_EdileneB.eaf
S,tem pessoas do paraná essa minha vizinha aqui é do paraná,S_PBCP_2017FA+_EdileneB.eaf
S,essa daqui veio lá de de de cuiabá,S_PBCP_2017FA+_EdileneB.eaf
S,é de cuiabá,S_PBCP_2017FA+_EdileneB.eaf
S,mas a família dela é de,S_PBCP_2017FA+_EdileneB.eaf
S,da bahia,S_PBCP_2017FA+_EdileneB.eaf
S,é uma misturassa,S_PBCP_2017FA+_EdileneB.eaf
S,dificilmente tem um paulista perto de mim,S_PBCP_2017FA+_EdileneB.eaf
S,não conheço nenhum paulista perto de mim você acredita,S_PBCP_2017FA+_EdileneB.eaf
D1,ah é,S_PBCP_2017FA+_EdileneB.eaf
S,não conheço,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_EdileneB.eaf,,
--- Trecho ---,,
D1,e dentro aqui de campinas você consegue identificar se uma pessoa é de determinada região de campinas de determinado bairro,S_PBCP_2017FA+_EdileneB.eaf
D1,ou de uma determinada cidade aqui perto ou não é difícil,S_PBCP_2017FA+_EdileneB.eaf
S,conversando,S_PBCP_2017FA+_EdileneB.eaf
D1,é isso pode ser conversando,S_PBCP_2017FA+_EdileneB.eaf
S,ah,S_PBCP_2017FA+_EdileneB.eaf
D1,é difícil né,S_PBCP_2017FA+_EdileneB.eaf
S,é difícil,S_PBCP_2017FA+_EdileneB.eaf
S,muito difícil eu saber de que bairro que ela é a não ser que eu pergunte,S_PBCP_2017FA+_EdileneB.eaf
D1,uhum,S_PBCP_2017FA+_EdileneB.eaf
S,porque quando eu chego no posto de saúde geralmente como eu converso muito né,S_PBCP_2017FA+_EdileneB.eaf
S,chego lá no meio da mulherada em pego uma senha lá estava pra da recepção,S_PBCP_2017FA+_EdileneB.eaf
S,e fico conversando e conversa vai conversa vem geralmente a gente só fala mal dos médico né,S_PBCP_2017FA+_EdileneB.eaf
S,e do sus que não tem outro assunto pior,S_PBCP_2017FA+_EdileneB.eaf
D1,aham,S_PBCP_2017FA+_EdileneB.eaf
S,e e a gente acaba conversando eu falo você é da onde o seu seu sotaque é diferente,S_PBCP_2017FA+_EdileneB.eaf
D1,uhum,S_PBCP_2017FA+_EdileneB.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,g quanto tempo você mora aqui nesse bairro,S_PBCP_2017FA+_GiovanaC.eaf
S,eh vinte anos,S_PBCP_2017FA+_GiovanaC.eaf
D1,já são vinte anos,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,e você gosta de morar aqui nessa região de paulínia,S_PBCP_2017FA+_GiovanaC.eaf
S,gosto sim,S_PBCP_2017FA+_GiovanaC.eaf
D1,é,S_PBCP_2017FA+_GiovanaC.eaf
D1,por que que você gosta,S_PBCP_2017FA+_GiovanaC.eaf
S,uhn,S_PBCP_2017FA+_GiovanaC.eaf
S,ai é uma região bem calma,S_PBCP_2017FA+_GiovanaC.eaf
D1,é,S_PBCP_2017FA+_GiovanaC.eaf
S,aqui é s bem sossegado,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,e por que que você escolheu morar aqui nesse bairro,S_PBCP_2017FA+_GiovanaC.eaf
S,é porque foi aqui que eu comprei o terreno,S_PBCP_2017FA+_GiovanaC.eaf
S,então é aqui que eu tenho minha casa né,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,e por que que você escolheu morar aqui nesse bairro,S_PBCP_2017FA+_GiovanaC.eaf
S,é porque foi aqui que eu comprei o terreno,S_PBCP_2017FA+_GiovanaC.eaf
S,então é aqui que eu tenho minha casa né,S_PBCP_2017FA+_GiovanaC.eaf
D1,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,mas você veio por exemplo pr quando você veio você chegou a vir pra outro bairro primeiro,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu vim ma eu morava no monte alegre,S_PBCP_2017FA+_GiovanaC.eaf
D1,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,quanto tempo você morou lá,S_PBCP_2017FA+_GiovanaC.eaf
S,morei dois anos lá,S_PBCP_2017FA+_GiovanaC.eaf
D1,e depois,S_PBCP_2017FA+_GiovanaC.eaf
S,aí depois eu vim morar aqui,S_PBCP_2017FA+_GiovanaC.eaf
D1,foi só esses dois lugares de paulínia que você morou,S_PBCP_2017FA+_GiovanaC.eaf
D1,você morou em alguma outra cidade antes de você chegar em paulínia,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
S,só aqui em paulínia mesmo,S_PBCP_2017FA+_GiovanaC.eaf
D1,direto pra cá,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,mas você veio por exemplo pr quando você veio você chegou a vir pra outro bairro primeiro,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu vim ma eu morava no monte alegre,S_PBCP_2017FA+_GiovanaC.eaf
D1,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,quanto tempo você morou lá,S_PBCP_2017FA+_GiovanaC.eaf
S,morei dois anos lá,S_PBCP_2017FA+_GiovanaC.eaf
D1,e depois,S_PBCP_2017FA+_GiovanaC.eaf
S,aí depois eu vim morar aqui,S_PBCP_2017FA+_GiovanaC.eaf
D1,foi só esses dois lugares de paulínia que você morou,S_PBCP_2017FA+_GiovanaC.eaf
D1,você morou em alguma outra cidade antes de você chegar em paulínia,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
S,só aqui em paulínia mesmo,S_PBCP_2017FA+_GiovanaC.eaf
D1,direto pra cá,S_PBCP_2017FA+_GiovanaC.eaf
D1,e você conhece seus vizinhos aqui,S_PBCP_2017FA+_GiovanaC.eaf
S,conheço sim,S_PBCP_2017FA+_GiovanaC.eaf
D1,é você conhece bastante,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,e o que que esse bairro tem de diferente dos outros bairros de paulínia que você acha assim,S_PBCP_2017FA+_GiovanaC.eaf
S,ai eu acho que é um bairro bem calmo esse bairro aqui,S_PBCP_2017FA+_GiovanaC.eaf
S,acho dele por ser mais distante do centro é um bairro bem,S_PBCP_2017FA+_GiovanaC.eaf
S,bem sossegado,S_PBCP_2017FA+_GiovanaC.eaf
D1,ele é sossegado então,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,você acha que um diferencial assim dos outros bairros,S_PBCP_2017FA+_GiovanaC.eaf
S,aham é,S_PBCP_2017FA+_GiovanaC.eaf
S,é,S_PBCP_2017FA+_GiovanaC.eaf
D1,não tem muita badalação,S_PBCP_2017FA+_GiovanaC.eaf
S,principalmente esse aqui né,S_PBCP_2017FA+_GiovanaC.eaf
D1,é que é mais pra cá né mais pra ponta,S_PBCP_2017FA+_GiovanaC.eaf
S,é,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
S,mais pra ponta então é bem sossegado aqui,S_PBCP_2017FA+_GiovanaC.eaf
S,bem tranquilo,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,mas aqui costuma haver festa de bairro ou não,S_PBCP_2017FA+_GiovanaC.eaf
S,costuma na no costuma sim,S_PBCP_2017FA+_GiovanaC.eaf
D1,costuma que festa que tem,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
S,ah em julho eles faz uma festa,S_PBCP_2017FA+_GiovanaC.eaf
S,na na na outra rua né,S_PBCP_2017FA+_GiovanaC.eaf
D1,uhum,S_PBCP_2017FA+_GiovanaC.eaf
S,é no mesmo bairro né,S_PBCP_2017FA+_GiovanaC.eaf
S,na rua ali,S_PBCP_2017FA+_GiovanaC.eaf
S,eles faz todo todo ano eles faz,S_PBCP_2017FA+_GiovanaC.eaf
D1,e faz tipo festa para as crianças,S_PBCP_2017FA+_GiovanaC.eaf
D1,alguma coisa pro natal ou não só,S_PBCP_2017FA+_GiovanaC.eaf
S,não festa pra as criança a gente faz na,S_PBCP_2017FA+_GiovanaC.eaf
S,na igreja que eu fre,S_PBCP_2017FA+_GiovanaC.eaf
S,frequento,S_PBCP_2017FA+_GiovanaC.eaf
D1,aqui atrás,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,mas tem algum outro lugar aqui do bairro que as pessoas costumam se reunir tipo uma sede ou não,S_PBCP_2017FA+_GiovanaC.eaf
S,não não tem,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,só essas festas mesmo,S_PBCP_2017FA+_GiovanaC.eaf
S,só essas festas mesmo,S_PBCP_2017FA+_GiovanaC.eaf
D1,entendi,S_PBCP_2017FA+_GiovanaC.eaf
D1,e você sabe se as pessoas se ajudam por aqui,S_PBCP_2017FA+_GiovanaC.eaf
S,ajudam,S_PBCP_2017FA+_GiovanaC.eaf
S,se ajudam sim,S_PBCP_2017FA+_GiovanaC.eaf
D1,ajudam,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,se você se você precisar de ajuda pra quem que você recorre assim,S_PBCP_2017FA+_GiovanaC.eaf
D1,primeiro assim,S_PBCP_2017FA+_GiovanaC.eaf
D1,sem ser a sua família no caso,S_PBCP_2017FA+_GiovanaC.eaf
S,pra os meus amigos,S_PBCP_2017FA+_GiovanaC.eaf
D1,os seus amigos,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,e já aconteceu alguma coisa aqui que fez você pensar em mudar de bairro,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,nunca,S_PBCP_2017FA+_GiovanaC.eaf
S,nunca,S_PBCP_2017FA+_GiovanaC.eaf
S,eu gosto daqui,S_PBCP_2017FA+_GiovanaC.eaf
D1,graças a deus né,S_PBCP_2017FA+_GiovanaC.eaf
S,uhum,S_PBCP_2017FA+_GiovanaC.eaf
D1,e hoje tem algum outro bairro que você gostaria de morar,S_PBCP_2017FA+_GiovanaC.eaf
D1,por outro mal,S_PBCP_2017FA+_GiovanaC.eaf
D1,outra questão assim na verdade,S_PBCP_2017FA+_GiovanaC.eaf
D1,apesar de você gostar daqui,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu gosto daqui mas,S_PBCP_2017FA+_GiovanaC.eaf
S,se fosse,S_PBCP_2017FA+_GiovanaC.eaf
S,pra mim escolher pra morar eu morava em monte alegre porque minha irmã mora lá então aí eu ficava mais perto dela né,S_PBCP_2017FA+_GiovanaC.eaf
D1,ah entendi,S_PBCP_2017FA+_GiovanaC.eaf
S,só por is,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,e hoje tem algum outro bairro que você gostaria de morar,S_PBCP_2017FA+_GiovanaC.eaf
D1,por outro mal,S_PBCP_2017FA+_GiovanaC.eaf
D1,outra questão assim na verdade,S_PBCP_2017FA+_GiovanaC.eaf
D1,apesar de você gostar daqui,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu gosto daqui mas,S_PBCP_2017FA+_GiovanaC.eaf
S,se fosse,S_PBCP_2017FA+_GiovanaC.eaf
S,pra mim escolher pra morar eu morava em monte alegre porque minha irmã mora lá então aí eu ficava mais perto dela né,S_PBCP_2017FA+_GiovanaC.eaf
D1,ah entendi,S_PBCP_2017FA+_GiovanaC.eaf
S,só por is,S_PBCP_2017FA+_GiovanaC.eaf
S,de irmã,S_PBCP_2017FA+_GiovanaC.eaf
D1,ia abandonar seus vizinhos aqui,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu nossa eu adoro aqui eu gosto muito daqui,S_PBCP_2017FA+_GiovanaC.eaf
D1,é gostoso né,S_PBCP_2017FA+_GiovanaC.eaf
S,aham aqui é muito bom,S_PBCP_2017FA+_GiovanaC.eaf
D1,mas é só esse motivo mesmo,S_PBCP_2017FA+_GiovanaC.eaf
S,aham,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,do seu bairro tanto faz,S_PBCP_2017FA+_GiovanaC.eaf
S,estou  com,S_PBCP_2017FA+_GiovanaC.eaf
D1,que que você mais gosta assim,S_PBCP_2017FA+_GiovanaC.eaf
D1,que é diferente lá da paraíba,S_PBCP_2017FA+_GiovanaC.eaf
S,né que eu mais  gosto ,S_PBCP_2017FA+_GiovanaC.eaf
S,é de tudo pra mim está  bom,S_PBCP_2017FA+_GiovanaC.eaf
D1,então você gosta muito daqui,S_PBCP_2017FA+_GiovanaC.eaf
S,é eu gosto  muito daqui,S_PBCP_2017FA+_GiovanaC.eaf
S,ai não sei é como eu te falei aqui eu acho mais ,S_PBCP_2017FA+_GiovanaC.eaf
S,eu não sei se eu se eu,S_PBCP_2017FA+_GiovanaC.eaf
S,aqui é mais  calmo pra viver,S_PBCP_2017FA+_GiovanaC.eaf
S,é isso que eu gosto  entendeu,S_PBCP_2017FA+_GiovanaC.eaf
D1,então acho que é a traquilidade que você mais gosta,S_PBCP_2017FA+_GiovanaC.eaf
S,a traquilidade aham,S_PBCP_2017FA+_GiovanaC.eaf
D1,não tem acho que está,S_PBCP_2017FA+_GiovanaC.eaf
S,é,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,e você sabe algum lugar aqui de paulínia algum bairro que essas pessoas se concentrem mais,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,você acha que está espalhado,S_PBCP_2017FA+_GiovanaC.eaf
S,acho que está  espalhado ,S_PBCP_2017FA+_GiovanaC.eaf
D1,e,S_PBCP_2017FA+_GiovanaC.eaf
D1,dentro de paulínia mesmo você consegue identificar se uma pessoa é de uma determinada região ou de um determinado bairro,S_PBCP_2017FA+_GiovanaC.eaf
D1,pela fala,S_PBCP_2017FA+_GiovanaC.eaf
D1,ou não,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,é difícil saber,S_PBCP_2017FA+_GiovanaC.eaf
D1,não tem como saber na verdade,S_PBCP_2017FA+_GiovanaC.eaf
S,é,S_PBCP_2017FA+_GiovanaC.eaf
D1,entendi,S_PBCP_2017FA+_GiovanaC.eaf
D1,o g eu vou pedir pra você,S_PBCP_2017FA+_GiovanaC.eaf
D1,ler umas palavrinhas pra mim,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_GiovanaC.eaf,,
--- Trecho ---,,
D1,dentro de paulínia mesmo você consegue identificar se uma pessoa é de uma determinada região ou de um determinado bairro,S_PBCP_2017FA+_GiovanaC.eaf
D1,pela fala,S_PBCP_2017FA+_GiovanaC.eaf
D1,ou não,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,é difícil saber,S_PBCP_2017FA+_GiovanaC.eaf
D1,não tem como saber na verdade,S_PBCP_2017FA+_GiovanaC.eaf
S,é,S_PBCP_2017FA+_GiovanaC.eaf
D1,entendi,S_PBCP_2017FA+_GiovanaC.eaf
D1,o g eu vou pedir pra você,S_PBCP_2017FA+_GiovanaC.eaf
D1,ler umas palavrinhas pra mim,S_PBCP_2017FA+_GiovanaC.eaf
D1,você se importa,S_PBCP_2017FA+_GiovanaC.eaf
S,não,S_PBCP_2017FA+_GiovanaC.eaf
D1,você pode ler,S_PBCP_2017FA+_GiovanaC.eaf
D1,elas antes pra você na sua cabeça e depois já pode ler pra mim,S_PBCP_2017FA+_GiovanaC.eaf
D1,se você quiser começando ler também pode ficar tranquila,S_PBCP_2017FA+_GiovanaC.eaf
S,já eu posso começar,S_PBCP_2017FA+_GiovanaC.eaf
,,
### Arquivo: S_PBCP_2017FA+_MilenaP.eaf,,
--- Trecho ---,,
D1,há quanto tempo você mora aqui nesse bairro,S_PBCP_2017FA+_MilenaP.eaf
S,nesse bairro pela segunda vez já faz doze anos,S_PBCP_2017FA+_MilenaP.eaf
D1,doze anos você já morou nesse bairro então,S_PBCP_2017FA+_MilenaP.eaf
S,já,S_PBCP_2017FA+_MilenaP.eaf
